State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
MI,2,2,16.0,8.8,5.0,0.0
MI,2,3,21.9,17.2,9.0,0.0
NY,2,2,19.9,11.1,5.0,0.0
IN,2,2,19.0,5.6,8.0,0.0
IN,2,2,16.0,6.3,5.0,0.0
OH,2,3,19.9,9.3,4.0,0.0
TX,2,3,41.0,34.7,8.0,0.0
MT,2,3,19.9,5.2,10.0,0.0
WA,2,2,46.0,42.5,10.0,0.01
MI,3,3,18.0,8.7,0.8,0.01
CT,3,3,24.1,16.0,0.8,0.06
NY,3,2,21.9,13.4,0.5,0.01
NY,3,3,25.0,16.3,1.2,0.03
NJ,3,2,30.9,24.3,3.0,0.07
NY,3,2,27.0,18.0,2.5,0.01
NJ,3,2,30.0,26.5,2.0,0.04
NY,3,3,30.9,22.2,1.5,0.08
OH,3,2,21.2,8.3,1.5,0.01
PA,3,3,30.0,21.1,3.0,0.03
PA,3,2,28.9,21.9,1.0,0.03
MD,3,3,32.0,24.8,3.0,0.01
IN,3,2,21.0,12.4,8.0,0.0
OH,3,1,26.1,15.0,1.2,0.03
MN,3,3,3.9,-3.4,10.0,0.0
TN,3,2,35.1,26.9,2.0,0.02
TX,3,2,43.0,37.7,8.0,0.01
TX,3,2,44.1,36.5,10.0,0.02
NY,4,3,16.0,3.6,9.0,0.0
MI,5,3,16.0,6.3,0.5,0.03
MI,5,3,19.9,9.3,2.0,0.0
MA,5,2,27.1,20.7,4.0,0.0
MI,5,2,19.9,7.3,2.5,0.01
MI,6,3,19.0,12.3,1.8,0.0
MI,6,3,21.9,11.0,2.5,0.0
PA,6,2,35.1,29.3,10.0,0.0
PA,6,2,42.1,39.2,2.0,0.01
RI,1,2,42.1,34.9,10.0,0.0
PA,1,3,43.0,36.0,9.0,0.0
AZ,1,3,32.0,22.5,0.5,0.12
CT,5,2,46.4,40.4,10.0,0.01
IN,5,3,42.1,36.6,2.5,0.08
OR,5,2,44.6,39.2,10.0,0.0
TN,6,3,46.0,44.8,1.5,0.23
OR,7,3,36.0,28.0,10.0,0.0
MI,1,2,42.1,36.6,0.8,0.03
MI,1,2,42.1,38.4,0.8,0.0
NC,1,3,41.0,38.0,1.5,0.01
MN,1,3,19.9,5.7,3.0,0.0
MN,1,2,19.9,5.7,2.5,0.0
MN,1,2,19.9,7.3,2.0,0.0
MN,1,3,19.0,6.1,3.0,0.0
IL,1,2,37.9,35.5,0.2,0.0
UT,1,2,26.1,13.6,1.5,0.01
CA,1,3,46.0,43.1,10.0,0.01
WI,2,3,42.1,38.4,0.5,0.0
OK,2,3,35.1,23.3,0.2,0.02
OK,2,2,27.0,11.9,1.5,0.0
OK,2,2,27.0,13.5,5.0,0.0
OK,2,2,27.0,13.5,5.0,0.0
TX,2,2,43.0,34.8,4.0,0.16
WA,2,2,33.1,30.0,10.0,0.0
WA,2,3,34.0,26.0,10.0,0.0
WA,2,3,28.9,21.1,1.5,0.0
OR,2,2,32.0,22.1,2.0,0.0
IN,3,2,37.0,30.4,10.0,0.03
IN,3,2,37.0,31.0,10.0,0.0
TX,3,2,36.0,26.7,9.0,0.16
TX,3,2,35.1,23.8,8.0,0.06
TX,3,3,34.0,23.4,2.5,0.02
OK,3,2,30.0,20.0,7.0,0.01
TN,3,3,46.0,40.6,6.0,0.03
MA,4,3,34.0,28.0,1.0,0.02
NH,4,3,30.2,24.3,2.0,0.04
NY,4,2,39.9,35.8,3.0,0.02
PA,4,2,46.0,41.9,9.0,0.0
IN,4,3,37.9,30.5,10.0,0.01
MN,4,3,27.0,17.3,1.5,0.0
MN,4,3,26.1,18.4,1.5,0.0
MO,4,2,26.6,17.5,3.0,0.0
MO,4,3,35.1,28.6,6.0,0.0
TX,4,3,37.0,33.3,4.0,0.01
TX,4,3,37.9,30.5,2.0,0.0
TN,4,3,44.1,42.5,1.5,0.0
MA,5,2,37.9,29.6,9.0,0.01
MI,5,2,39.0,36.8,3.0,0.01
NY,5,3,39.0,35.7,0.5,0.02
MD,5,2,37.4,32.1,3.0,0.0
MD,5,3,39.9,34.5,2.5,0.13
MD,5,3,41.0,37.1,1.2,0.0
OH,5,2,46.4,40.4,5.0,0.02
IL,5,3,39.9,34.5,4.0,0.03
